date_time,mean_z
1997-02-28,0.5728872740831893
1997-03-31,0.4640154569220054
1997-04-30,0.11807608944187287
1997-05-31,0.19225355732925284
1997-06-30,-0.2669499276002065
1997-07-31,
1997-08-31,
1997-09-30,-0.34686445770807034
1997-10-31,0.09442832281773146
1997-11-30,1.1343719769639624
1997-12-31,
1998-01-31,-0.07318772450514469
1998-02-28,-0.2927075751362165
1998-03-31,-0.11874712956027066
1998-04-30,
1998-05-31,
1998-06-30,-0.5942838693846014
1998-07-31,-0.47273375625838493
1998-08-31,
1998-09-30,-0.456001232192302
1998-10-31,-0.1904688914010073
1998-11-30,-0.22816330957705935
1998-12-31,-0.25099242316239506
1999-01-31,-0.46611825666663537
1999-02-28,-0.4719367474895156
1999-03-31,-0.4425125872494263
1999-04-30,-0.4771047767955151
1999-05-31,-0.2897476275498653
1999-06-30,-0.09524458486432186
1999-07-31,-0.44152029528859094
1999-08-31,-0.34691922500729633
1999-09-30,-0.45662643209414805
1999-10-31,-0.27376280087620336
1999-11-30,-0.08281470351035591
1999-12-31,-0.07575275532070895
2000-01-31,0.15192751618931774
2000-02-29,-0.24645099799404963
2000-03-31,-0.07715895625803443
2000-04-30,-0.38399790788035076
2000-05-31,0.011552502415770882
2000-06-30,-0.007499555730948182
2000-07-31,-0.522990170361411
2000-08-31,-0.3787955584316631
2000-09-30,-0.07588415240834159
2000-10-31,0.12475273234388715
2000-11-30,-0.22684778163908756
2000-12-31,0.3769875959279491
2001-01-31,-0.23676709568545573
2001-02-28,-0.16316752589613173
2001-03-31,-0.33652441426389795
2001-04-30,-0.42751288924873565
2001-05-31,-0.08546753669949007
2001-06-30,-0.2063543194853259
2001-07-31,-0.36025565171887924
2001-08-31,-0.43742029127349547
2001-09-30,-0.1860817498222404
2001-10-31,-0.33395952253682293
2001-11-30,-0.44221596778383976
2001-12-31,0.2182864192359673
2002-01-31,-0.2983883898763117
2002-02-28,-0.3640381449399701
2002-03-31,-0.21708479856219146
2002-04-30,-0.17843697288718513
2002-05-31,-0.2463130139653985
2002-06-30,0.3859696438002363
2002-07-31,-0.1556129182535027
2002-08-31,0.12530408160913897
2002-09-30,-0.2657278777023166
2002-10-31,-0.4640354413581987
2002-11-30,-0.35068360933669646
2002-12-31,0.5096021106557912
2003-01-31,-0.3314883645443724
2003-02-28,-0.18937834238532472
2003-03-31,-0.021327699198119054
2003-04-30,-0.3022666500084524
2003-05-31,-0.3227558691723498
2003-06-30,-0.031750688475977625
2003-07-31,-0.3990785622383783
2003-08-31,-0.47838058602010847
2003-09-30,-0.3459482682451746
2003-10-31,-0.067168382609386
2003-11-30,0.3524739506520932
2003-12-31,-0.3061721750727807
2004-01-31,-0.3760062977954567
2004-02-29,-0.2095858802140668
2004-03-31,-0.324477037167904
2004-04-30,-0.09808132105810714
2004-05-31,0.0021107025896056654
2004-06-30,-0.20854407598686003
2004-07-31,1.4216038496627057
2004-08-31,-0.19621590069006842
2004-09-30,-0.29447555041030804
2004-10-31,-0.2673671728200539
2004-11-30,-0.15907078239206693
2004-12-31,0.3908389097332386
2005-01-31,-0.364172256497417
2005-02-28,0.37914059307303905
2005-03-31,-0.07458721708094854
2005-04-30,0.1325681549941395
2005-05-31,0.33284837872606593
2005-06-30,0.42498785209626966
2005-07-31,-0.3138696764797464
2005-08-31,0.44804508843017193
2005-09-30,0.2310261631585522
2005-10-31,-0.293025559734804
2005-11-30,-0.22098417000252424
2005-12-31,0.24826892008247894
2006-01-31,-0.45102172256955203
2006-02-28,-0.2118554349066001
2006-03-31,0.13263175778191447
2006-04-30,-0.3087748208616029
2006-05-31,0.12313571833686594
2006-06-30,0.14407036945552248
2006-07-31,-0.24995605537743226
2006-08-31,-0.276359335574891
2006-09-30,0.026559152199367896
2006-10-31,0.2086196841656892
2006-11-30,-0.00620378304223538
2006-12-31,0.05125665493311453
2007-01-31,0.0033395601911366713
2007-02-28,-0.31678331980486085
2007-03-31,0.15275900545882315
2007-04-30,-0.4260520170893108
2007-05-31,-0.05055855824631905
2007-06-30,0.1548157054034933
2007-07-31,-0.18647876479434833
2007-08-31,-0.7176929894464128
2007-09-30,-0.033987190159521424
2007-10-31,-0.1386634963840617
2007-11-30,0.3108148758841239
2007-12-31,0.03149874265164303
2008-01-31,0.1504674843520057
2008-02-29,-0.13626073399973512
2008-03-31,0.4898141422648352
2008-04-30,-0.11422876300295189
2008-05-31,-0.050828388989563544
2008-06-30,-0.17229433834640515
2008-07-31,0.12943631454330165
2008-08-31,1.0526541046297428
2008-09-30,-0.16853569087462286
2008-10-31,-0.22767708350063093
2008-11-30,-0.17678036820845952
2008-12-31,-0.2939207425610452
2009-01-31,-0.6105062407593091
2009-02-28,-0.4543263312311533
2009-03-31,-0.4735339041858862
2009-04-30,-0.6251052729455793
2009-05-31,-0.24802347703662625
2009-06-30,-0.1475427009175281
2009-07-31,-0.42176267325871475
2009-08-31,0.16019529576190653
2009-09-30,-0.21497668238091544
2009-10-31,-0.27631668038147006
2009-11-30,-0.24018652762813467
2009-12-31,-0.41936367918382483
2010-01-31,-0.19912330111079657
2010-02-28,0.38092609214661965
2010-03-31,0.03152165846365875
2010-04-30,-0.17012296007581207
2010-05-31,-0.41884446108758017
2010-06-30,-0.32231464251465397
2010-07-31,-0.3425650682646276
2010-08-31,-0.036429648197955355
2010-09-30,-0.4551852856495373
2010-10-31,-0.3414005805175222
2010-11-30,-0.2527195653093553
2010-12-31,-0.13789028549632762
2011-01-31,-0.02092100925417283
2011-02-28,-0.1192246459092913
2011-03-31,-0.36247404889954893
