Doc_ID,tfidf_svd_1,tfidf_svd_2,tfidf_svd_3,tfidf_svd_4,tfidf_svd_5,tfidf_svd_6,tfidf_svd_7,tfidf_svd_8,tfidf_svd_9,tfidf_svd_10,tfidf_svd_11,tfidf_svd_12,tfidf_svd_13,tfidf_svd_14,tfidf_svd_15,tfidf_svd_16,tfidf_svd_17,tfidf_svd_18,tfidf_svd_19,tfidf_svd_20,tfidf_svd_21,tfidf_svd_22,tfidf_svd_23,tfidf_svd_24,tfidf_svd_25,tfidf_svd_26,tfidf_svd_27,tfidf_svd_28,tfidf_svd_29,tfidf_svd_30,tfidf_svd_31,tfidf_svd_32,tfidf_svd_33,tfidf_svd_34,tfidf_svd_35,tfidf_svd_36,tfidf_svd_37,tfidf_svd_38,tfidf_svd_39,tfidf_svd_40,tfidf_svd_41,tfidf_svd_42,tfidf_svd_43,tfidf_svd_44,tfidf_svd_45,tfidf_svd_46,tfidf_svd_47,tfidf_svd_48,tfidf_svd_49,tfidf_svd_50,tfidf_svd_51,tfidf_svd_52,tfidf_svd_53,tfidf_svd_54,tfidf_svd_55,tfidf_svd_56,tfidf_svd_57,tfidf_svd_58,tfidf_svd_59,tfidf_svd_60,tfidf_svd_61,tfidf_svd_62,tfidf_svd_63,tfidf_svd_64,tfidf_svd_65,tfidf_svd_66,tfidf_svd_67,tfidf_svd_68,tfidf_svd_69,tfidf_svd_70,tfidf_svd_71,tfidf_svd_72,tfidf_svd_73,tfidf_svd_74,tfidf_svd_75,tfidf_svd_76,tfidf_svd_77,tfidf_svd_78,tfidf_svd_79,tfidf_svd_80,tfidf_svd_81,tfidf_svd_82,tfidf_svd_83,tfidf_svd_84,tfidf_svd_85,tfidf_svd_86,tfidf_svd_87,tfidf_svd_88,tfidf_svd_89,tfidf_svd_90,tfidf_svd_91,tfidf_svd_92,tfidf_svd_93,tfidf_svd_94,tfidf_svd_95,tfidf_svd_96,tfidf_svd_97,tfidf_svd_98,tfidf_svd_99,tfidf_svd_100,finbert_pos,finbert_neu,finbert_neg,finbert_tone,tfidf_svd_1_z,finbert_tone_z,MacroTone_index,Date
2,0.01190790288853143,0.10422627801298785,-0.0882891224684097,0.05612839408176343,0.057888623337584,-0.04387442111633941,-0.008473089705826026,-0.023718236083778266,0.06330750375730196,0.03726965886678216,-0.025092248791895696,-0.004318117552012895,0.01813552443963859,-0.003757490407340857,-0.0019582129481881994,0.029541022589664793,0.014354808973883179,0.023877150349244064,-0.007735277106428946,-0.0066154014420431,-0.01591607212800597,-0.02229411492892724,-0.005028960372265237,0.001126464173429878,-0.019309163251322634,0.008887666037653992,-0.04327681487165966,0.0100378225145019,0.012149832544697344,0.005410285424269714,-0.01473955386673712,-0.010859083571548274,0.0404408568293511,0.005652243071820113,0.004440252466967584,0.020091089566590503,0.027413893332734137,-0.005922901273559793,-0.02675435434283239,-0.00677205591906202,0.014019012836505187,-0.005675746588851478,-0.014271210389105077,-0.010229334339698653,0.019083166153606973,0.019092216433782182,-0.01143189742104285,-0.005363505872374032,-0.00781951968658147,-0.01549634256494797,-0.008258862791113274,-0.005677826760368607,0.022508239964429605,-0.029916457541372624,0.009668453943699959,0.05126034055972433,-0.04975128520906726,-0.02107844073665268,0.006926467102074386,0.015035051282523618,-0.0018239471268693868,0.020278612392826984,-0.01003287648360968,0.013912509736524331,-0.00979886183913903,0.0060606221190551215,-0.007673339643703004,0.005104401486546062,-0.009592604778492213,-0.0001344301383991319,-0.010333542975154658,0.013289317425036891,0.013178279754608929,0.028855016050915772,-0.012309172076656948,0.07100766123578824,-0.03266983403958227,-0.011550950018110415,-0.029727680755973634,-0.004880575006506609,0.04193075046091113,0.03530624260025186,0.009521881125736995,-0.012956686447674013,-0.021645625824268277,0.005680402547820844,0.0028883504408588044,0.0015057023676933205,-0.021467240510340484,-0.022013018307414953,0.007622899830840401,0.000867442972519741,0.0018373688079184654,0.00987166669816046,-0.007364377380722228,-0.007005479005712463,-0.03745035531572026,-2.574835735122329e-05,0.02819082437635817,0.024028651743955846,0.050920327892526984,0.8964154198765755,0.05266423802822828,-0.0017439101357012987,-0.21605974296093355,-0.2369704159997393,-0.4530301589606729,2025-09-30
4,0.002617891426702281,0.03543487341166337,0.0003643145183685522,-0.034529783717233864,0.008692143017347418,0.011851798462754788,0.019688860790655696,-0.029736254308845397,-0.05577844042949032,-0.04682745803127114,-0.008209517415934156,-0.030282882524477285,0.02813034964050753,0.02350717505700151,0.0044483026803296246,0.16487663762316207,-0.07838674253129818,-0.01440910031783909,0.046849997543968146,-0.10173605427551928,-0.019466219822091308,0.04369581063864775,-0.004307161417598126,0.05669923927431831,0.003712602016043167,0.07945363410237095,-0.05771016711726763,0.03200178837022013,-0.04984533736974486,-0.01032177858109171,-0.08772612607129741,-0.05709545703748524,-0.07905185682619399,0.1695065675566524,-0.023609743185250172,0.022588456383942527,0.019457735766343444,-0.05572456347089478,0.09798347924481282,-0.023496491233768367,0.00348652666439518,-0.007729282174508819,-0.011900712826005556,-0.050604787445994136,0.017441611643781885,0.05164369034103908,-0.015951076913670433,0.021277980228730075,-0.0831418078806506,0.04809562102170448,-0.015961498459394423,0.0347233428829744,0.04999110640642777,0.005140887781731219,-0.05817465152738046,-0.012758772961567723,-0.024895687442034617,-0.01910684520694268,0.01369201763930266,0.04558780095761887,0.030506872147613842,0.04158763019028957,-0.015002562481237457,-0.04192492831766152,0.019292085093092073,0.00855867064001206,-0.014735662931119848,0.027444440913069433,0.017435135770392837,-0.022064978615382078,0.019197752035844808,0.007035844675627227,-0.010080263306100842,0.009556733770207273,-0.001662725171005415,0.015688559617926177,-0.03272143487982417,0.009848173871546113,-0.009701026961995516,0.026038292080462072,-0.012661800013560078,0.005282918441893962,0.01539842564656991,0.007562110342293076,0.008725868768473366,-0.024878566276978875,-0.004339521671249692,0.035643661904413114,0.026161652081465887,0.004084381857316684,-0.013562243716726971,-0.014142894781998976,0.011002564173068493,-0.01792474044420987,0.008120100378638782,-0.028466513738134837,0.011554304952356327,0.004607401062417018,0.002787544799371464,0.012442704293351623,0.058227663238843284,0.8894179066022238,0.05235442643364271,0.005873236805200577,-0.30307513729464947,-0.12750884138735277,-0.43058397868200227,2025-09-26
5,0.017573066402686337,0.05069659200593186,0.04367096147051763,0.017446497705411936,0.024910431293135023,0.03408471838737748,-0.0235945790232905,-0.010403373440786545,-0.0009890739093356097,0.03455644201697132,0.04926216280785771,0.010052398862554329,0.024639075656018253,-0.003073693949090452,-0.024839672143702776,0.007195107876454708,0.0009864244784952459,0.006928218571074336,0.003410693463277199,-0.01488963964709069,-0.012733343425807248,-0.003356553322081077,-0.010159610374210482,-0.016323200356751708,0.01485093062088994,-0.01600473186053959,0.01254650960476423,0.0027571038143738634,0.007412518611100753,-0.022662165394501565,0.0069084454960256746,-0.0036666297409178156,0.003269156367705253,-0.013007394184085318,-0.011778702706800287,0.013510805990862863,0.012442562068441087,0.006490987502723345,-0.0029261872937521825,0.004049950032486773,-0.013799221752049494,0.0026654147464724156,-0.00438420868754347,0.0059058403172572,0.016377679693649127,-0.0013044791119439369,0.0072853850718145085,0.008826567460042307,0.003645833464157451,0.0008133309908243968,-0.0060808492266745725,0.028871182442632107,0.014161157580194263,0.004978966563608211,-0.002388264849234735,-0.00878700486189269,-0.00517477984974769,-0.016026201708120386,0.013539544228267916,-0.004074479772386254,-0.009931327475659144,-0.007216775140595245,0.015517218940464254,-0.017728324578178533,0.004161574894135763,-0.0031115105100933014,-0.008022351685545694,-0.019218190500904037,-0.0008793952645112122,0.013222907642061361,0.011502138465771722,-0.008456373217943304,0.023054753019272685,0.009939396627154571,0.004324528290864771,0.000992064110694306,-0.027471738764127226,-0.00144588338950019,0.003256234045895495,-0.02081819180887597,0.002235895304771146,0.01855720485209163,-0.0008860514324031347,-0.0033243811145455145,-0.014136285772481445,0.006715493614105926,-0.02268395556889854,0.015391393718707999,-0.00555035504252221,-0.005391102214086625,-0.02040016488978333,0.004983729703311552,0.0013630281536698154,0.02553516171122304,0.033654581549716116,-0.0018257850495863692,-0.004166323299345465,-0.01604385861550789,0.012580509497546449,0.008840820280420363,0.07307994961738587,0.7594713062047959,0.16744873970746993,-0.09436879009008406,-0.1629966827941478,-1.5680285256506432,-1.731025208444791,2025-09-17
8,0.0012750254714476584,0.02093514301597854,0.006704179180781749,-0.007016441915897271,-0.0037843698502371135,0.003982702040045884,0.008114760924911249,-0.005152435143868166,-0.00783404850543103,-0.004509668747610778,0.001754574664582357,-0.007412742148830587,0.000569577324088053,-0.000604374711697872,0.0016858328331286407,-0.004142440224148751,0.00440417548465446,-0.001047275207450826,0.0033440297939699094,-0.017320275804204477,-0.024605015041518206,0.012012055286357976,-0.0009478320835855745,0.0026484995977100385,0.011900239899005684,-0.0018151812018897613,-0.026433852388165768,0.005295724107648026,0.0014229740656452033,0.018369466125641883,-0.005043692460921511,-0.024201385664237213,0.01633228535483834,0.018888221223032554,0.003525762088749772,0.05757316390318969,0.009555493058625276,-0.009679514966242432,0.017984803120986076,-0.0037476108600965567,-0.012705067791513354,-0.00897314777741369,0.019822135373997074,-0.0545537946257101,0.0331456431340576,0.0021377590099608997,-0.0007082372337694088,-0.0033089815923115404,0.017955956746129167,0.024686147947817514,-0.015732081704734065,0.04260763196079285,0.018263183361702684,0.019801953083961717,-0.004376752228248298,-0.02607306471149349,0.0035767916716871575,-0.04751656987658079,0.01143327050276724,0.03020991595034639,0.0019232209288471583,0.03081772914936773,-0.030614694349927328,-0.033901376920430895,0.021926965377755864,0.023634175721688844,0.004269890895063272,0.040239708109126415,0.0025866118577260937,0.026652282757708517,-0.019168161445313112,-0.004575125669812786,0.006442091510734806,-0.03190597277378383,-0.007099525659088722,0.018120523915342964,-0.018747463104351252,-0.017564955803023585,0.010318225822222173,0.008610199408850838,-0.013474171301146167,-0.0036255157841638764,0.017418986528206674,-0.005100171485570683,0.0035796829439749284,-0.030983806697237604,0.0068564244609201535,-0.0023259968783501672,0.015308693159577258,-0.00218626011702964,-0.001650650162596936,0.005285494365446468,0.013796567026896231,-0.009201807137979238,-0.005197266355588306,-0.0016469766702569932,-0.014990502588138263,0.00792419453903993,0.012279415343557186,0.013186841672525453,0.1374653740786016,0.7777624428272247,0.08477216027677059,0.05269321380183101,-0.31565316382496295,0.5453137318319163,0.2296605680069534,2025-09-15
16,0.0025999288925023997,0.022212508441093404,-0.007458057132548473,-0.012953444868572642,0.010145166143160732,-0.0068172102332626746,0.018577657143499817,-0.014512240292204066,-0.022435203341104045,-0.003922221817036288,0.01032295366305569,-0.007935722658950404,-0.02164856242650863,-0.02040837361791361,0.00320098227395042,0.0037447052438804576,-0.016473929016484742,-0.022720584434002874,0.003695603147455867,0.01827645163675691,-0.003072252019809873,-0.00249007908056714,0.02898147780232443,-0.010523734448393763,-0.0033851503045351644,0.012693557919639113,0.01991630171019871,0.017914798249314835,-0.0264518065286399,-0.037092610636341304,-0.022023815643719268,-0.010132690926487066,0.009606045921454493,0.019922271491181892,-0.012024436824948739,0.00020509569745079045,-0.0021515864918529113,0.0013897920818677274,0.027736596816150254,0.023669977075580946,-0.05052562713915899,-0.06919988783554888,-0.0018901741642786455,0.01952161651423951,0.03961116712714672,-0.0466650843575275,-0.027639635261554975,-0.03528631042480767,-0.0021672890214923246,0.01983738118256835,0.037557698385926624,-0.06223265048885873,0.11459622847763139,-0.013071359579528596,0.09919093926583424,-0.016365298592186533,0.11467562472860011,0.1554390753943309,-0.010112183002786702,0.06494891278221619,-0.1256853468851616,-0.039341794165279914,-0.14177352545584007,-0.06645018176807747,-0.004090521681415453,0.05695669932052907,0.0071208839260257,0.005872159164893059,-0.05634424750276007,-0.06373520185478039,-0.026619420045353274,0.011157940945928568,0.05455278374550577,0.0649583804145451,0.08375593439337291,-0.024824581506176634,-0.031246599600158343,-0.04001169557355295,0.011223801563205226,0.029374418277349476,-0.03638880175249795,-0.0023216026525812155,0.06333479501832232,0.013188369848764004,0.0419550890778845,0.016886714176860756,0.01998324469529061,-0.0169830892555911,0.017845920108129982,0.0009024231068452209,0.0435797962983145,0.059896018920078876,-0.048055240778354415,-0.019984515801953474,0.05327019796671755,-0.06191710223839332,0.021804520386036932,0.014528876409947957,0.047771066695453654,-0.03601019695857402,0.14819802840550741,0.8263451457023621,0.025456854452689488,0.12274117395281793,-0.3032433843418203,1.5519320990502452,1.248688714708425,2025-07-10
20,0.018109783815761556,0.052776892707876166,-0.016210322583203863,-0.0036526264605195504,-0.018639003015221513,0.0010186038589329745,0.012455877639370552,-0.01785679793545787,-0.008197184684916786,-0.007774355683332599,0.0059058458857508085,-0.012369381239502262,0.010643613186772222,0.0055500211276398774,0.004586391847611052,-0.002981611648237817,0.0025718208642824996,0.03445316845714379,-0.0010696901729819657,0.01871908270939974,0.0025748429337247,0.009550926699329864,0.009409337423546469,0.012521972632540056,0.010885103890158199,-0.0016742311852196243,-0.004956525400230112,-0.011683412814786947,0.014527342151111965,-0.017222179216686444,-0.009544875993908478,-0.009306756843805048,-0.010879277515824437,-0.01311344952508876,0.003997027469762101,-0.013851360599413453,-0.005273246234691913,0.0030054656824807426,-0.000688415225455316,-0.0013617203126084709,-0.0011860543006694852,0.0008335949601418668,0.013358000457235796,0.00841514553019702,-0.0031865678883748303,-0.005008742389627363,-0.00927717515547042,0.0006997156098045069,-0.0004853641149239214,0.011754920544855512,-0.003015256832831157,0.004808593813013542,-0.0005962244756106578,0.0017207797791415572,0.016450719380175973,-0.009346126781651197,-0.004186634916533968,0.007637891143965456,0.0024215454047956052,0.0031821499188262646,-0.01735324295262479,-0.0010419381297524088,0.009600786157770784,0.006621638426229763,0.005553042815225082,0.000571144252833939,0.00024468618761998203,-0.0013774781076007947,0.0013375572982288354,0.014595521606906334,0.012756239971025523,-0.005058589623954831,0.0033223274817732696,0.009369172464160415,-0.010451373387904207,0.008265256370673336,-0.0016263550767769402,-0.006890688692217937,0.005409696496932126,-0.0036669334057124574,-0.02114118747982213,-0.0018889222288749816,-0.002065567092301799,0.008364143753153093,0.005416671664468796,0.0004995952695156321,0.0016585335239252584,-0.004005625155672369,-0.002602876095930394,0.012287367964758348,0.0016326231512344032,0.00854826288110765,-0.0013183902074225748,0.013244163597619638,0.0013993003339793572,0.008539699788349144,-0.0021254600070463535,0.006744568875050943,-0.00652966029947787,0.006324448092390953,0.06138331886252452,0.8888402129041737,0.04977647009594687,0.011606848766577652,-0.15796949014358927,-0.04511444905409432,-0.20308393919768358,2025-06-30
21,0.009298887647810398,0.06613662751148655,0.026620230713674843,-0.08958249155654638,-0.05730425423401327,-0.0005065620691245684,0.024802782656640494,-0.01042766043648752,0.055871041387423666,0.03689506791617171,0.011536193414556618,0.0038643885256670948,-0.0007410832620939133,-0.012460962908027983,0.0040874121602308385,0.008641702455654921,-0.013118470737728224,0.0017721893751759775,-0.018483610832699077,0.051548325579613925,0.04769633113800422,-0.049456902303153444,0.025518980377492017,0.021622542170145042,-0.014461086955078598,0.02934413205732896,-0.025419018543572237,0.0015753404311575196,-0.03521398521467679,0.02180162846985494,-0.038398556134763416,0.03291160054905144,0.0008040736283985519,0.025044693170369656,-0.02150018818304818,-0.04274595453725814,0.013536677660693393,0.015427474356821198,-0.03104979317227581,0.028530127485864743,-0.04366289386458025,0.006570876519117482,-0.0465284887585699,0.03408426971333821,0.02888557246452683,-0.019361443228837698,0.028332251096678085,0.005830379866783569,0.04814145843711266,0.016443644326597666,0.012965500873640245,0.04218318740957399,0.01744348076237499,0.02359797950436065,0.037179243236055794,0.012457001539999865,0.021670813081401247,0.01016700931555939,0.034129282940655314,-0.010281772491980683,0.04360421778062629,-0.043794687522838154,-0.02106818045835228,-0.042945673762457795,0.018474373370601076,-0.001938477549943491,-0.01284556423141673,0.029812371544718712,-0.010208693643292367,-0.029693217755089627,0.009728268867872081,-0.02823284735450753,-0.065991238583855,-0.0338075062349633,0.007460213047759855,0.0077801328291743285,-0.037658906081980074,0.05445770458319311,0.007078617481778035,-0.06273239777103588,-0.02193151954821781,-0.0829413746845449,-0.021259992216678885,-0.028232337129967297,0.03167149188018968,0.009702671259168145,-0.028120629928243122,0.06888138725609881,-0.016631054341545673,0.007200344710915716,-0.056086691130251796,0.022857485899958535,-0.013873463275180187,0.039284001802443,-0.008058722545983159,0.05886906321922221,-0.002938899449652495,0.0495752788029269,0.03873662029999062,-0.02316464942300793,0.08536644466221333,0.8826107531785965,0.032022784696891904,0.05334365996532142,-0.24049722518868052,0.5546609141573523,0.31416368896867175,2025-06-27
22,0.005859454130108831,0.039085550471973325,-0.007345795123592664,-0.019255168604044005,0.013131666172507914,0.007327510705770991,0.013077427040361486,0.011074240198164787,-0.011832494129025062,-0.005236530283666732,0.03341315238291812,-0.044428049248654976,-0.00019595030206840416,-0.06526405144307962,0.006020357185566774,-0.01685859968317198,0.005776330400837465,-0.05403966095451656,-0.00355894231123013,0.023629144347475133,0.06519693447734025,-0.09116593384368694,0.03214728214407798,0.01407734971459191,0.055376236190495046,-0.01699445410867928,0.011986855219254512,-0.0997687407957772,-0.037735138271135005,-0.05613592669787134,0.029287231531674843,-0.019235111462365156,-0.0006145573254715895,0.049160363476472825,-0.007505972420949105,-0.03658128567800727,0.056285818417700376,0.012158129481272503,0.01920844239642145,0.05714876488623454,0.012290420360313956,0.06050417845475867,0.0435512764443893,0.021828528063745797,-0.035235568812478475,-0.011751531256095175,0.08137511461173837,0.009085215193839164,-0.022210845556051573,-0.006093731468326034,-0.028550783467717257,0.0006452950119991055,-0.0006764122744108707,0.02392343342507336,0.05895822225900071,0.03117694098740613,-0.04852646547102512,-0.031902512477301796,0.01476509743736434,-0.016940374559420775,0.07593033164423485,-0.04261273012203624,-0.04512410202573731,-0.054430295645716664,0.04698279977493195,0.027539754244462134,0.005987903221686715,0.027514318394092085,0.014605320525510144,-0.028053370518267,-0.01394391666629756,0.014228946824766515,-0.03377659848894453,-0.006683242539916869,-0.03721764492749956,0.01728861772228856,0.009428217018609714,0.006546783004304883,0.021999195497486555,-0.02003367596246812,0.016661028801014707,0.011697925893565546,0.009949776841753737,0.02456344258902078,-0.005319380681541826,-0.0066137970831152155,0.0028784546797504806,-0.007112110058262077,0.000764482573632938,0.027943034798311915,-0.011333727999561425,0.029891738818386943,-0.008491622848652635,0.00983017895017807,-0.0006483764567384741,-0.02136722846305931,-0.011943844880886931,-0.003038771162677054,-0.010493406578602118,-0.036559682177368935,0.0912623587064445,0.8764148354530334,0.03232282446697354,0.05893953423947096,-0.2727128650785881,0.6350759585478218,0.36236309346923373,2025-06-26
27,0.00837019096968994,0.06587212855272292,0.005606600579768054,-0.03698269918211986,0.021890958187486043,0.023034762457035278,0.014882569685349713,-0.061504219663336676,-0.04862003450083273,-0.045382231183532525,-0.032110887970358215,-0.02782114574869663,0.052621616457266096,0.018732825412928006,-0.06463501254004952,0.06724504914610413,-0.016264199177237478,-0.002605092157893483,0.02348806778616784,-0.010534376733972374,0.04924014601969896,-0.0038585719788569086,0.03765215703835078,0.04508282251309594,-0.015333890404348054,0.019001201237991556,0.05018000890901456,0.028608028956522445,0.041681723317354945,0.08692001267511498,0.01048135480967541,-0.01499048551476366,-0.042195929545973704,0.06878064648466348,-0.005120984649775926,-0.046822863570601295,0.04638069966313367,0.018124992627028484,0.08025758154059023,0.001944275094298638,-0.0020381789744686914,0.031126103183206695,0.004035751142538825,0.025811797841878974,0.02933319724894,0.04163270325388355,-0.010984229497145557,0.02909577451890214,-0.013579596117431494,-0.021317508166735707,0.016499751228379073,0.01269999793053327,-0.03189885229058881,0.030967558061851228,-0.02451104448740039,-0.006453484748507175,0.02088405676832999,0.006774054518913452,0.022827235416799596,-0.0014069453951868855,-0.01068212101137127,-0.027609599676234536,-0.043398765544283964,-0.01236498361464961,-0.008649703874666901,-0.02562237400115422,-0.013847777098618706,-0.008487053710144422,-0.008991677888655023,-0.015815569921873426,-0.013103500903373224,0.0248468577786669,-0.0063400796157693905,0.012839470697742385,0.0019115009594079255,0.01627391537152642,-0.03355513726851683,-0.0014404097551745307,-0.0018304626123364855,-0.044356073349569196,0.010367908007242913,-0.029061827748579058,-0.021033007006748528,0.01422561536612046,0.025182378677369558,0.015038383848428687,-0.009825652707801304,0.04564584227559216,-0.012575786245967103,-0.0203642981240951,-0.03778477401291419,-0.009162009192258293,0.01793913682948034,-0.02442411336443611,-0.00418331443319764,0.036980684596628906,-0.006782539685592737,0.024871942071132334,0.012236633491043057,-0.0036439717011259435,0.0511522363871336,0.9057556867599488,0.04309206865727901,0.008060167729854587,-0.2491959128054935,-0.09608173299119953,-0.345277645796693,2025-06-18
32,0.40301002746614745,-0.016851648993646166,-0.010123649443529175,-0.0011876257169748507,0.001728817884436738,0.01631101022315711,-0.0028094893563454545,0.03939675889957991,-0.031968549525461507,-0.0012560359006465434,0.061644609421862145,0.117479217324867,0.1213265696771814,-0.02468544406804933,-0.010225285640729692,0.005502214639124774,0.0074812619147593675,0.02822944992621547,-0.02200102234112646,-0.0003959482593118051,0.014779139208850232,-0.0014365025749791885,-0.007911671074642246,-0.0016684172191697984,-0.03724652470721953,0.04340140449360747,0.013297972488585805,0.026440223705237107,-0.04797903060329613,-0.02304885142837899,0.010483185329736718,-0.021834522643755835,0.002470387739982088,-0.019995730601693983,-0.030249263441271098,0.020352168345412387,0.001098779020107398,0.008203522834043972,-0.01505556348476323,0.022408611065862775,-0.01097995908146339,0.02312766179286763,-0.001021852567543481,0.0066204583568305565,0.019639736816980696,-0.018962906513184635,0.01317042920190244,0.01832534539322478,0.00794708015115361,0.008498308444896654,0.0006092288896395287,0.019517809423946875,0.009632185559917726,0.008938681312904814,-0.0068000043720697675,-0.007602304977238589,-0.003559853988498901,0.02989053581295818,-0.00018636721538849347,-0.010175868850912491,-0.022163479299187806,0.0003703758877580567,-0.02728659226058934,-0.0106360676662837,0.004815851495901724,-0.029913477771998122,0.001144204809107963,-0.014143020814336025,0.0027970476227592625,0.013206476059099874,-0.001188525931410387,0.041300936127701714,-0.006435039388343778,0.009868226647022988,-0.016052721103529212,0.03261767764496732,-0.002258489943951657,-0.030065325298833028,-0.013203823518940496,-0.028745656268638602,0.03693761841767042,-0.011879414367133021,0.060840296234685155,-0.01936426964128196,-0.03908367412170202,0.013665978230228987,0.06104160442211365,-0.06032400014646049,0.047215425617209074,-0.003994647786173004,0.004404863108504016,0.10887910261637729,0.026266485466417525,-0.042079184368936026,-0.06491985299099864,-0.04706398656038415,0.1597662190807655,0.018031715127007956,-0.028824959393103082,0.01864754379388554,0.02855059877038002,0.9355281740427017,0.03592123789712787,-0.007370639126747847,3.4472194397080917,-0.3178288555251551,3.1293905841829366,2025-06-11
