Doc_ID,finbert_pos,finbert_neu,finbert_neg,finbert_tone
2,0.050920327892526984,0.8964154198765755,0.05266423802822828,-0.0017439101357012987
4,0.058227663238843284,0.8894179066022238,0.05235442643364271,0.005873236805200577
5,0.07307994961738587,0.7594713062047959,0.16744873970746993,-0.09436879009008406
8,0.1374653740786016,0.7777624428272247,0.08477216027677059,0.05269321380183101
16,0.14819802840550741,0.8263451457023621,0.025456854452689488,0.12274117395281793
20,0.06138331886252452,0.8888402129041737,0.04977647009594687,0.011606848766577652
21,0.08536644466221333,0.8826107531785965,0.032022784696891904,0.05334365996532142
22,0.0912623587064445,0.8764148354530334,0.03232282446697354,0.05893953423947096
27,0.0511522363871336,0.9057556867599488,0.04309206865727901,0.008060167729854587
32,0.02855059877038002,0.9355281740427017,0.03592123789712787,-0.007370639126747847
33,0.08753009595804745,0.8264177971416049,0.08605209303398927,0.0014780029240581832
34,0.06639788299798965,0.9095558722813925,0.02404624844590823,0.04235163455208142
37,0.03910053397218386,0.8993335167566935,0.06156592878202597,-0.02246539480984211
44,0.1958583416417241,0.7088223770260811,0.09531931206583977,0.10053902957588434
45,0.03676598984748125,0.9145478904247284,0.04868613602593541,-0.01192014617845416
49,0.04324640426784754,0.9081371873617172,0.04861639719456434,-0.0053699929267168045
53,0.17706643883138895,0.7968831360340118,0.026050397427752614,0.15101604140363634
58,0.03065747084716956,0.6846967736879984,0.28464579954743385,-0.2539883287002643
59,0.047324581816792485,0.8392910718917846,0.11338436827063561,-0.06605978645384313
63,0.16405055796106657,0.7235684792200724,0.11238091190656026,0.051669646054506316
66,0.036288258930047355,0.9240313768386841,0.03968037113857766,-0.003392112208530307
73,0.22994176795085272,0.7308982610702515,0.03915994924803575,0.19078181870281696
77,0.09501341544091702,0.6745581142604351,0.23042848706245422,-0.1354150716215372
78,0.03992778124908606,0.9159953395525614,0.04407690092921257,-0.00414911968012651
82,0.035170091316103935,0.9110084275404612,0.053821466552714504,-0.01865137523661057
84,0.05294919634858767,0.9085377355416616,0.038513057554761566,0.014436138793826103
89,0.04457275103777647,0.8782450556755066,0.07718217885121703,-0.03260942781344056
90,0.021352193007866543,0.9330036044120789,0.04564417898654938,-0.024291985978682835
96,0.10330792982131243,0.8583766222000122,0.03831545636057854,0.06499247346073389
101,0.12175465151667594,0.7438699007034302,0.13437546119093896,-0.012620809674263017
106,0.0199588555842638,0.9312649766604105,0.04877615844209989,-0.02881730285783609
109,0.05095035086075465,0.8946073651313782,0.05444226413965225,-0.0034919132788976057
112,0.09162924904376268,0.8662002682685852,0.04217047430574894,0.049458774738013744
118,0.031166326875487965,0.8698525230089823,0.09898114204406738,-0.06781481516857941
128,0.032492274004552096,0.9179505705833435,0.04955716555317243,-0.017064891548620335
130,0.035836505517363546,0.7810584902763367,0.1831050157546997,-0.14726851023733617
133,0.027644870802760124,0.9286255240440369,0.043729618191719055,-0.01608474738895893
136,0.05311918817460537,0.9005013406276703,0.046379475854337215,0.006739712320268154
138,0.041796853144963585,0.9339068134625753,0.024296354812880356,0.01750049833208323
140,0.038900334388017654,0.9143527746200562,0.046746914740651846,-0.007846580352634192
142,0.04372953549027443,0.9169757246971131,0.039294737949967386,0.004434797540307046
144,0.03799420185387135,0.9174695014953613,0.04453629069030285,-0.006542088836431502
148,0.04795536269935278,0.8755887196614192,0.07645592451668702,-0.028500561817334243
152,0.06237272173166275,0.8532470539212227,0.08438022225163877,-0.02200750051997602
158,0.02771521620452404,0.9309352159500122,0.041349537670612335,-0.013634321466088294
161,0.028324559330940247,0.8593936324119568,0.11228179354220628,-0.08395723421126604
171,0.1432309684654077,0.7983623345692953,0.058406700690587364,0.08482426777482033
175,0.08122896527250607,0.8619819680849711,0.05678904118637244,0.024439924086133637
177,0.13295115530490875,0.7354698975880941,0.13157893220583597,0.0013722230990727835
178,0.05142560228705406,0.76348348458608,0.18509089946746826,-0.1336652971804142
180,0.022465134970843792,0.9344949026902517,0.043039956440528236,-0.020574821469684444
186,0.18879591729491949,0.7065806925296784,0.1046233655884862,0.08417255170643329
187,0.04106579162180424,0.9286252856254578,0.030308943862716358,0.01075684775908788
198,0.045549845322966576,0.9222640593846639,0.03218609715501467,0.013363748167951904
201,0.020780006423592567,0.9362267255783081,0.04299328848719597,-0.0222132820636034
215,0.14279168684567725,0.7869248368910381,0.07028345550809588,0.07250823133758137
218,0.08503010562237572,0.7659319586613599,0.14903795149396448,-0.06400784587158877
222,0.06481591860453288,0.8871214787165324,0.048062617580095925,0.016753301024436958
223,0.04421592876315117,0.9177863597869873,0.03799768164753914,0.00621824711561203
224,0.04378560185432434,0.853027418255806,0.10318695846945047,-0.05940135661512613
226,0.046392700324455895,0.9194613695144653,0.03414593699077765,0.012246763333678246
227,0.03606231976300478,0.858915905157725,0.10502177104353905,-0.06895945128053427
229,0.035170240141451356,0.9005078852176667,0.0643218606710434,-0.02915162052959204
232,0.035969074815511703,0.9163417021433512,0.04768921931584676,-0.01172014450033506
248,0.0563451899215579,0.9139222651720047,0.029732579831033945,0.026612610090523958
251,0.15552757401019335,0.758080780506134,0.08639163617044687,0.06913593783974648
256,0.07519731437787414,0.8867218047380447,0.03808089438825846,0.03711641998961568
257,0.0701219872571528,0.8702913969755173,0.05958663090132177,0.010535356355831027
261,0.031199799152091146,0.922397144138813,0.0464030378498137,-0.015203238697722554
262,0.06239820271730423,0.9149355192979177,0.022666269602874916,0.03973193311442931
267,0.046830798809727035,0.8833979566891988,0.06977126561105251,-0.022940466801325478
268,0.06942009087651968,0.875280037522316,0.055299882777035236,0.014120208099484444
271,0.04903480373322964,0.9077936828136444,0.043171510100364685,0.0058632936328649535
277,0.02215748466551304,0.9360515922307968,0.041790919844061136,-0.019633435178548098
